threadId=0	segmentId=0	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schiebermütze. kann ich nicht bewerten da zu groß !#nexlpEOL#!
threadId=1	segmentId=1	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Panda Ganzkörper Tier-Kostüm. Ich bin sehr enttäuscht. Nach dem ersten Tragen habe ich viele Löcher entdeckt.. . Wirklich nicht zu empfehlen... Viel zu teuer und schlecht verarbeitet !#nexlpEOL#!
threadId=2	segmentId=2	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Unbrauchbar. Entweder waren die Handschuhe schon gleich kaputt oder die Heizleistung war so gering das sie nicht fühlbar war. Jedenfalls habe ich die Handschuhe zurückgeschickt !#nexlpEOL#!
threadId=3	segmentId=3	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schlechte Qualität. Nach dem zweiten Waschen kann es man nicht mehr tragen. Der Pullover wird locker. Das könnte nur an die Qualität liegen. !#nexlpEOL#!
threadId=4	segmentId=4	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Hersteller verbieten bei Amazon!!!. Solch eine Firma sollte man bei Amazon ausschließen! Viel zu hohe Versandkosten! Obwohl man Express Versand genommen hat, wurde der Termin nicht eingehalten! Und nach der Kontakt Aufnahme zum Hersteller, wurde der Termin verschoben auf eine Woche später! Eine absolute Frechheit und Abzocke!!! !#nexlpEOL#!
threadId=5	segmentId=5	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nähte schlecht verarbeitet.. Die Strumpfhose ist von der Qualität nicht so gut. Die Naht geht schon am Bund auseinander. !#nexlpEOL#!
threadId=6	segmentId=6	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Naja. Sieht nicht schön aus, oberer teil zu klein !#nexlpEOL#!
threadId=7	segmentId=7	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Viel zu klein. Für 3XL fällt die aus wie eine 42 also viel zu klein. Kann ich also nicht empfehlen wer eine grosse Grösse braucht . !#nexlpEOL#!
threadId=8	segmentId=8	!@#NEXLP_DOCVECTOR_SEPARATOR#@!passt nicht über Brillen der angegebenen Brillen.. diese Überbrille passt leider nicht auf meine Brille ist zu Groß. Massangaben dieser Brille dürften korrigiert werden. !#nexlpEOL#!
threadId=9	segmentId=9	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Fake! SCHLECHTE Qualität. Dachte erst sie wären original. Falsch Gedacht! Nach einer Woche schon die ersten Qualitätsmangel! Nach einem Monat konnte man sie wegschmeißen !#nexlpEOL#!
threadId=10	segmentId=10	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nie wieder. Der Bikini hat nichts mit dem Bild zutun komplett anders und sieht nicht Mal gut aus !#nexlpEOL#!
threadId=11	segmentId=11	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nicht geliefert!!!. Artikel wurde noch immer nicht geliefert. Das Praktikum auf der Bank ist vorbei, der Kauf also voll sinnlos gewesen. Ich bin sauer. 0 Punkte kann man leider nicht vergeben. !#nexlpEOL#!
threadId=12	segmentId=12	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Keine Kaufempfehlung. Die Gürtelschnalle hält überhaupt nicht, geht bei der kleinsten Bewegung auf... Von Material her ok aber der Mechanismus funktioniert überhaupt nicht !#nexlpEOL#!
threadId=13	segmentId=13	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Einfach nicht schön.. Einfach nicht schön. Es sieht nicht aus wie eine Schleife sondern einfach nur wie ein Band mit einem Knoten, setzt man dieses haarband auf sieht es entsetzlich aus. Habe mir jetzt eines aus H&m gekauft. !#nexlpEOL#!
threadId=14	segmentId=14	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Traurig. Shirt wird mit Lieferdatum angekündigt aber wurde nicht geliefert. 0 Sterne! !#nexlpEOL#!
threadId=15	segmentId=15	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nicht zufrieden. Kleine Knötchen sind nach dem ersten Waschen in den Socken zu finden. Bin mit der Qualität insgesamt nicht zufrieden. Werde Sie nicht wieder bestellen !#nexlpEOL#!
threadId=16	segmentId=16	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Billige Ware. Die bestellte XXL würde ich als Größe L verkaufen! Made in China..... !#nexlpEOL#!
threadId=17	segmentId=17	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nie wieder, danke!. Minderwertige Qualität, die Jacke platzt an den Nähten, schlechte Kommunikation, unfreundliche Service. Das einzige positive schnelle Lieferung. Würde weder die Jacke noch den Verkäufer weiter empfehlen. Deswegen nur 1 Stern. !#nexlpEOL#!
threadId=18	segmentId=18	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nicht empfehlenswert, da nur mit Aufarbeitung nutzbar. Qualität für diesen Preis okay, aber der Hut wurde als Briefsendung verschickt, kam in einem ca 4cm dicken Tütchen an und war dadurch total geknickt. Ist ohne Aufarbeitung so nicht nutzbar. !#nexlpEOL#!
threadId=19	segmentId=19	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Minderwertige Qualität - nicht zu empfehlen!. Die Hosen sind bequem und passen auch gut, allerdings sind an beiden(!) Taschen nach dem ersten Waschen bereits die Nähte aufgegangen. Insgesamt ist das Produkt also auf keinen Fall zu empfehlen. !#nexlpEOL#!
threadId=20	segmentId=20	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Riverdale southside serpent t-shirt. Ich habe das T-Shirt noch nicht bekommen. !#nexlpEOL#!
threadId=21	segmentId=21	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Rücknahme des Produktes. Produkt ist viel zu groß. Hallo, das Produkt ist nicht annähernd so wie auf dem Bild beschrieben. Bitte um Rücknahme. Mit freundlichen Grüßen Mandy Kühn !#nexlpEOL#!
threadId=22	segmentId=22	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nie wieder. Sehr billiges Material kann mann nicht empfehlen:( hat rein garnichts mit der Abbildung zu tun und Flecken hatte das Teil auch noch. Nicht empfehlenswert !#nexlpEOL#!
threadId=23	segmentId=23	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Das ist ein Betrug ich habe das Produkt nicht bekommen. Ich habe das Produkt garnicht bekommen . Die Firma betrügt die Menschen. Ich will entweder mein Geld zurück oder senden Sie mir die waren. !#nexlpEOL#!
threadId=24	segmentId=24	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Leider nach 1 Tag kaputt. Sieht sehr gut aus aber nach 1 Tag fallen schon die ersten Schrauben raus. Fazit 20 Euro Brille hält nur einen Tag das ist sehr schlecht !#nexlpEOL#!
threadId=25	segmentId=25	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Bewertung Pullover. obwohl ich den Pullover schon eine Nummer größer bestellt habe, ist er trotzdem zu klein. Schade, ansonsten sehr hübsch. mal was anderes !#nexlpEOL#!
threadId=26	segmentId=26	!@#NEXLP_DOCVECTOR_SEPARATOR#@!T. Ist zwar ein schönes Kleid, aber viel zu klein. Und sehr schlecht genäht. !#nexlpEOL#!
threadId=27	segmentId=27	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nicht gut. Muss sagen bin Mega doll enttäuscht kam nie was bei mir an. Hoffe immer noch das es vielleicht noch ankommt !#nexlpEOL#!
threadId=28	segmentId=28	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Loch nach nur einem Tag. Erster Boxershort vom Pack hat schon ein Loch nach nur einem Tag... !#nexlpEOL#!
threadId=29	segmentId=29	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Inakzeptabel. Eigentlich null Sterne da der Bommel tatsächlich aus echtem Fell besteht und nicht - wie angegeben - aus unechtem Fell. Absolut inakzeptabel - Quäl-Pelz um diesen Preis und falsche Angaben in der Artikelbeschreibung. !#nexlpEOL#!
