threadId=65	segmentId=65	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schiebermütze. kann ich nicht bewerten da zu groß !#nexlpEOL#!
threadId=66	segmentId=66	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Panda Ganzkörper Tier-Kostüm. Ich bin sehr enttäuscht. Nach dem ersten Tragen habe ich viele Löcher entdeckt.. . Wirklich nicht zu empfehlen... Viel zu teuer und schlecht verarbeitet !#nexlpEOL#!
threadId=69	segmentId=69	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Unbrauchbar. Entweder waren die Handschuhe schon gleich kaputt oder die Heizleistung war so gering das sie nicht fühlbar war. Jedenfalls habe ich die Handschuhe zurückgeschickt !#nexlpEOL#!
threadId=71	segmentId=71	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Schlechte Qualität. Nach dem zweiten Waschen kann es man nicht mehr tragen. Der Pullover wird locker. Das könnte nur an die Qualität liegen. !#nexlpEOL#!
threadId=80	segmentId=80	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Hersteller verbieten bei Amazon!!!. Solch eine Firma sollte man bei Amazon ausschließen! Viel zu hohe Versandkosten! Obwohl man Express Versand genommen hat, wurde der Termin nicht eingehalten! Und nach der Kontakt Aufnahme zum Hersteller, wurde der Termin verschoben auf eine Woche später! Eine absolute Frechheit und Abzocke!!! !#nexlpEOL#!
threadId=87	segmentId=87	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nähte schlecht verarbeitet.. Die Strumpfhose ist von der Qualität nicht so gut. Die Naht geht schon am Bund auseinander. !#nexlpEOL#!
threadId=130	segmentId=130	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Naja. Sieht nicht schön aus, oberer teil zu klein !#nexlpEOL#!
threadId=150	segmentId=150	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Viel zu klein. Für 3XL fällt die aus wie eine 42 also viel zu klein. Kann ich also nicht empfehlen wer eine grosse Grösse braucht . !#nexlpEOL#!
threadId=159	segmentId=159	!@#NEXLP_DOCVECTOR_SEPARATOR#@!passt nicht über Brillen der angegebenen Brillen.. diese Überbrille passt leider nicht auf meine Brille ist zu Groß. Massangaben dieser Brille dürften korrigiert werden. !#nexlpEOL#!
threadId=166	segmentId=166	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Fake! SCHLECHTE Qualität. Dachte erst sie wären original. Falsch Gedacht! Nach einer Woche schon die ersten Qualitätsmangel! Nach einem Monat konnte man sie wegschmeißen !#nexlpEOL#!
threadId=169	segmentId=169	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nie wieder. Der Bikini hat nichts mit dem Bild zutun komplett anders und sieht nicht Mal gut aus !#nexlpEOL#!
threadId=180	segmentId=180	!@#NEXLP_DOCVECTOR_SEPARATOR#@!Nicht geliefert!!!. Artikel wurde noch immer nicht geliefert. Das Praktikum auf der Bank ist vorbei, der Kauf also voll sinnlos gewesen. Ich bin sauer. 0 Punkte kann man leider nicht vergeben. !#nexlpEOL#!
