ID	text	label
2006501	VESTES MANQUANTES. Bonjour, est ce normal qu'il me manques trois vestes ( 2 L et 1 M) allez vous m'adresser un autre colis de trois car j'en ai absolument besoin début semaine prochaine pour mes équipes lundi j'ai reçu un colis, il manquait ces trois vestes mais étant donné que j'attendais un autre colis je me suis dis qu'elles allaient arrivé aujourd'hui pouvez vous faire le nécessaire et avant tout me donner une réponse cdt sebastien 	0
2006601	Mauvaise qualité. Pas de très bonne qualité, il s'abîme au bout de quelques lavages. Déçue. 	0
2006701	Heureusement le tissus est de bonne qualité. Je suis déçue par le col qui est beaucoup trop large et pas du tout esthétique même la chemise ouverte 	0
2006801	Ai reçu 2 chemisiers sur trois?. Sur les trois chemisiers commandés, seul le noir et le bordeaux sont arrivés . Je n’ai jamais reçu le beige!. 	0
2006901	Sac. Je mais que deux étoile Je penser pas qui allez être asser petit franchement j'aime pas du tous tu peux même pas maitre un porte monnaie en grand je suis dessus de mon achat je vais le donner à ma nièce ou m'en servir pour renger des chose 	0
2007001	Super à porter mais fleurs pas top. Les dessins de fleurs pas top .. Légèrement trop grande attention lors de votre commande ... Point positif elle est agreable a porter et tombe bien. Je la retourne à cause des fleurs qui ne sont pas top mais je la recommandé en unie 	0
2007101	Plutôt rose que blanche. Ne reste pas blanche longtemps, elle vire au rose malgré un lavage qu’avec du blanc ... 	0
2007201	Bof. déçu par l'article qui paraît plus beau et plus grand en longueur sur le site d'Amazon... de plus la matière n'est pas si chaude que ça ...je trouve donc ce produit cher niveau qualité-prix je l'ai payé 19,99 € quand même 	0
2007301	qualité et tenue décevantes. Il y a de nombreuses qualités et finitions chez Lacoste... Important de bien choisir. 	0
2007401	Pas très solide. Pas très solide car c'est du plastique 	0
2014001	Belke et chaude assez longue. 1 an que je l ai et n as pas bougé avec les machines belles couleurs et chaude 	1
2014101	Super article et livraison très rapide. Mon fils l adore il tient chaud et très agréable à porter (tout doux), quand à la qualité pour le moment impeccable mais pas assez de recule pour dire si ça va tenir dans le temps 	1
